Arrondissement,Quartier,arrondissement_de_residence
Douala III,Yassa,Douala 3
Non précisé,Non précisé,Non précisé
Douala II,New Bell,Douala 1
Douala II,New Bell,Douala 1
Douala V,Ange Raphaël,Douala 5
Douala V,Beedi,Douala (Non précisé)
Douala I,Deido,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Non précisé
Non précisé,Non précisé,Douala 2
Douala III,Ndogpassi,Douala 3
Non précisé,Non précisé,Douala (Non précisé)
Douala III,Yassa,Douala (Non précisé)
Douala V,Ange Raphaël,Douala (Non précisé)
Douala III,Japoma,Douala 3
Douala I,Bonadibong,Douala (Non précisé)
Douala V,Ange Raphaël,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Douala V,Cité Sic,Douala 5
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Douala IV,Besseke,Douala 4
Non précisé,Non précisé,Douala (Non précisé)
Douala I,Akwa,Douala (Non précisé)
Douala I,Akwa,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Yaoundé
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Meiganga
Non précisé,Non précisé,Douala (Non précisé)
Douala I,Deido,Douala 1
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Non précisé
Non précisé,Non précisé,Douala (Non précisé)
Douala V,Cité Sic,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Douala V,Ndogbong,Douala 3
Douala III,Pk 9,Douala 5
Douala I,Deido,Douala (Non précisé)
Douala I,Deïdo,Douala 1
Douala III,Brazzaville,Douala (Non précisé)
Douala III,Brazzaville,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Douala III,Nyalla,Douala 3
Non précisé,Non précisé,Douala (Non précisé)
Douala III,Logbaba,Douala 3
Douala V,Bangue,Douala (Non précisé)
Douala III,Logbaba,Douala 3
Non précisé,Non précisé,Non précisé
Douala V,Bonamoussadi,Douala (Non précisé)
Douala V,Beedi,Douala 3
Non précisé,Non précisé,Douala 5
Non précisé,Non précisé,Douala (Non précisé)
Douala V,Bonabeyike,Douala 4
Douala V,Logbessou,Douala (Non précisé)
Douala I,Deido,Douala (Non précisé)
Douala II,New Bell,Douala (Non précisé)
Douala II,New Bell,Douala (Non précisé)
Douala I,Deido,Douala (Non précisé)
Douala III,Ndogpassi,Douala 5
Douala III,Boko,Douala 3
Douala V,Logpom,Douala (Non précisé)
Douala III,Nyalla,Douala 3
Douala II,New Bell,Douala (Non précisé)
Douala II,New Bell,Douala (Non précisé)
Douala III,Nyalla,Douala (Non précisé)
Douala III,Logbaba,Douala (Non précisé)
Douala III,Nyalla,Douala 3
Non précisé,Non précisé,Non précisé
Douala III,Ndogpassi,Douala 3
Douala II,Youpwé,Douala 2
Douala II,New Bell,Douala (Non précisé)
Douala II,New Bell,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Non précisé,Non précisé,Douala (Non précisé)
Douala V,Logpom,Douala 3
Douala III,Nyalla,Douala (Non précisé)
Non précisé,Non précisé,Non précisé
Douala V,Bonamoussadi,Douala (Non précisé)
Douala V,Bonabeyike,Douala 4
Non précisé,Non précisé,Douala 4
Douala III,Nyalla,Douala 3
