arrondissement_de_residence,quartier_de_residence
Douala III,Yassa
Non précisé,Non précisé
Douala II,New Bell
Douala V,Ange Raphaël
Douala V,Beedi
Douala I,Deido
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Douala 2,Non précisé
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala III,Yassa
Douala V,Ange Raphaël
Douala III,Japoma
Douala I,Bonadibong
Douala V,Ange Raphaël
Douala (Non précisé),Non précisé
Douala V,Cité Sic
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala IV,Besseke
Douala (Non précisé),Non précisé
Douala I,Akwa
Douala (Non précisé),Non précisé
Yaoundé,Non précisé
Douala (Non précisé),Non précisé
Meiganga,Non précisé
Douala (Non précisé),Non précisé
Douala I,Deido
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Douala (Non précisé),Non précisé
Douala V,Cité Sic
Douala (Non précisé),Non précisé
Douala V,Ndogbong
Douala III,Pk 9
Douala I,Deido
Douala I,Deïdo
Douala III,Brazzaville
Douala (Non précisé),Non précisé
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala III,Logbaba
Douala V,Bangue
Douala III,Logbaba
Non précisé,Non précisé
Douala V,Bonamoussadi
Douala V,Beedi
Douala 5,Non précisé
Douala (Non précisé),Non précisé
Douala V,Bonabeyike
Douala V,Logbessou
Douala I,Deido
Douala II,New Bell
Douala I,Deido
Douala III,Ndogpassi
Douala III,Boko
Douala V,Logpom
Douala III,Nyalla
Douala II,New Bell
Douala III,Nyalla
Douala III,Logbaba
Douala III,Nyalla
Non précisé,Non précisé
Douala III,Ndogpassi
Douala II,Youpwé
Douala II,New Bell
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala V,Logpom
Douala III,Nyalla
Non précisé,Non précisé
Douala V,Bonamoussadi
Douala V,Bonabeyike
Douala 4,Non précisé
Douala III,Nyalla
Douala III,Yassa
Douala (Non précisé),Non précisé
Douala III,Pk 10
Douala III,Ndogpassi
Douala I,Akwa
Douala 3,Non précisé
Édéa,Non précisé
Douala 3,Non précisé
Douala III,Pk 10
Douala 3,Non précisé
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala V,Emene City
Douala V,Ndogbong
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala V,Bonamoussadi
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala III,Japoma
Non précisé,Non précisé
Douala III,Yassa
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Édéa,Non précisé
Douala III,Pk 11
Douala (Non précisé),Non précisé
Douala I,Nkongmondo
Douala III,Pk 10
Douala V,Cité Sic
Douala III,Logbaba
Douala III,Ndogpassi
Douala III,Pk 10
Douala (Non précisé),Non précisé
Douala V,Makepe
Douala I,Nkongmondo
Douala III,Pk 10
Douala (Non précisé),Non précisé
Douala 3,Non précisé
Douala I,Akwa
Douala I,Bali
Yaoundé,Non précisé
Douala (Non précisé),Non précisé
Douala I,Ngodi
Douala III,Yassa
Douala I,Bonapriso
Douala III,Yassa
Douala V,Kotto
Douala V,Cité des palmiers
Douala (Non précisé),Non précisé
Douala III,Japoma
Douala I,Akwa
Douala III,Nyalla
Douala I,Bali
Douala III,Ndogpassi
Douala III,Ndogpassi
Douala I,Deido
Douala III,Bilongue
Douala II,New Bell
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala II,New Bell
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala 5,Non précisé
Douala III,Nyalla
Douala V,Kotto
Douala III,Pk 9
Douala I,Nkongmondo
Douala V,Logpom
Douala 5,Non précisé
Douala I,Grand Moulin
Douala (Non précisé),Non précisé
Yaoundé,Non précisé
Douala (Non précisé),Non précisé
Douala I,Bessengue
Douala III,Logbaba
Douala III,Ndogpassi
Douala 3,Non précisé
Douala (Non précisé),Non précisé
Douala III,Pk 9
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala 3,Non précisé
Douala V,Cité Sic
Douala III,Pk 9
Douala I,Bessengue
Douala III,Nyalla
Douala I,Nkongmondo
Douala III,Yassa
Douala V,Makepe
Douala 5,Non précisé
Douala (Non précisé),Non précisé
Douala 3,Non précisé
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala V,Bonabeyike
Douala III,Bilongue
Douala III,Pk 10
Douala 3,Non précisé
Douala 4,Non précisé
Douala I,Bali
Douala (Non précisé),Non précisé
Douala I,Bali
Yaoundé,Non précisé
Douala V,Ndogbong
Douala V,Malangue
Douala (Non précisé),Non précisé
Douala I,Deido
Douala II,New Bell
Douala I,Bonadibong
Douala 5,Non précisé
Douala III,Bilongue
Douala I,Akwa
Douala I,Nkongmondo
Douala (Non précisé),Non précisé
Douala I,Bessengue
Douala III,Yassa
Douala III,Japoma
Douala III,Pk 11
Douala V,Cité des palmiers
Douala V,Bonamoussadi
Douala 4,Non précisé
Douala III,Yassa
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala 2,Non précisé
Douala (Non précisé),Non précisé
Douala III,Boko
Douala 3,Non précisé
Douala 4,Non précisé
Douala V,Bonabeyike
Douala V,Bepanda
Douala V,Bonamoussadi
Douala III,Oyack
Douala III,Ndogpassi
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala II,New Bell
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala III,Yassa
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala I,Bonapriso
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala III,Ndogpassi
Douala 5,Non précisé
Douala 5,Non précisé
Douala V,Kotto
Douala I,Deido
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala III,Boko
Douala 4,Non précisé
Douala 4,Non précisé
Yaoundé,Non précisé
Douala (Non précisé),Non précisé
Douala II,New Bell
Douala V,Logpom
Douala III,Ndogpassi
Douala V,Logpom
Douala III,Ndogpassi
Douala III,Bilongue
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Douala III,Yassa
Douala 5,Non précisé
Douala III,Ndogpassi
Douala V,Ndogbong
Douala I,Ngodi
Douala V,Bonamoussadi
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala I,Deido
Douala 4,Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala I,Bonapriso
Douala I,Bali
Douala I,Bali
Douala V,Beedi
Douala III,Yassa
Manjo,Non précisé
Douala (Non précisé),Non précisé
Douala II,New Bell
Douala I,Deido
Douala 3,Non précisé
Douala III,Pk 10
Douala I,Bali
Douala III,Nyalla
Douala III,Yassa
Douala I,Akwa Nord
Douala I,Bonateki
Douala (Non précisé),Non précisé
Douala V,Ndogbong
Douala V,Kotto
Douala III,Nyalla
Douala I,Bali
Douala 6,Non précisé
Douala V,Cité des palmiers
Douala (Non précisé),Non précisé
Douala V,Malangue
Douala V,Malangue
Douala I,Deido
Douala 3,Non précisé
Douala (Non précisé),Non précisé
Douala I,Bessengue
Douala V,Ndogbong
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala I,Bonateki
Douala III,Ndogpassi
Douala (Non précisé),Non précisé
Douala III,Yassa
Douala V,Bepanda
Douala II,New Bell
Douala III,Brazzaville
Douala I,Ngodi
Douala III,Logbaba
Douala III,Ndokoti
Douala II,New Bell
Douala III,Oyack
Douala II,New Bell
Douala (Non précisé),Non précisé
Douala III,Boko
Douala (Non précisé),Non précisé
Douala III,Ndogpassi
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala III,Boko
Douala V,Bepanda
Douala III,Nyalla
Douala (Non précisé),Non précisé
Douala V,Kotto
Douala 3,Non précisé
Douala V,Makepe
Non précisé,Non précisé
Douala 3,Non précisé
Douala V,Cité des palmiers
Douala (Non précisé),Non précisé
Non précisé,Non précisé
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Tiko,Non précisé
Douala III,Yassa
Douala 3,Non précisé
Douala (Non précisé),Non précisé
Douala I,Bessengue
Non précisé,Non précisé
Douala V,Bepanda
Douala (Non précisé),Non précisé
Douala (Non précisé),Non précisé
Douala IV,Ndobo
Douala III,Boko
Douala 5,Non précisé
Douala (Non précisé),Non précisé
Douala 5,Non précisé
Non précisé,Non précisé
Douala (Non précisé),Non précisé
Douala V,Makepe
Bafoussam,Non précisé
Douala (Non précisé),Non précisé
Douala 2,Non précisé
