arrondissement_de_residence,quartier_de_residence,arrondissement_de_residence
Douala 3,Yassa,Douala III
Non précisé,Non précisé,
Douala 1,New Bell,Douala II
Douala 1,New Bell,Douala II
Douala 5,Ange Raphaël,Douala V
Douala (Non précisé),Beedi,Douala V
Douala (Non précisé),Deido,Douala I
Douala (Non précisé),Non précisé,
Non précisé,Non précisé,
Douala 2,Non précisé,
Douala 3,Ndogpassi,Douala III
Douala (Non précisé),Non précisé,
Douala (Non précisé),Yassa,Douala III
Douala (Non précisé),Ange Raphaël,Douala V
Douala 3,Japoma,Douala III
Douala (Non précisé),Bonadibong,Douala I
Douala (Non précisé),Ange Raphaël,Douala V
Douala (Non précisé),Non précisé,
Douala 5,Cité Sic,Douala V
Douala (Non précisé),Non précisé,
Douala (Non précisé),Non précisé,
Douala 4,Besseke,Douala IV
Douala (Non précisé),Non précisé,
Douala (Non précisé),Akwa,Douala I
Douala (Non précisé),Akwa,Douala I
Douala (Non précisé),Non précisé,
Yaoundé,Non précisé,
Douala (Non précisé),Non précisé,
Meiganga,Non précisé,
Douala (Non précisé),Non précisé,
Douala 1,Deido,Douala I
Douala (Non précisé),Non précisé,
Non précisé,Non précisé,
Douala (Non précisé),Non précisé,
Douala (Non précisé),Cité Sic,Douala V
Douala (Non précisé),Non précisé,
Douala 3,Ndogbong,Douala V
Douala 5,Pk 9,Douala III
Douala (Non précisé),Deido,Douala I
Douala 1,Deïdo,Douala I
Douala (Non précisé),Brazzaville,Douala III
Douala (Non précisé),Brazzaville,Douala III
Douala (Non précisé),Non précisé,
Douala 3,Nyalla,Douala III
Douala (Non précisé),Non précisé,
Douala 3,Logbaba,Douala III
Douala (Non précisé),Bangue,Douala V
Douala 3,Logbaba,Douala III
Non précisé,Non précisé,
Douala (Non précisé),Bonamoussadi,Douala V
Douala 3,Beedi,Douala V
Douala 5,Non précisé,
Douala (Non précisé),Non précisé,
Douala 4,Bonabeyike,Douala V
Douala (Non précisé),Logbessou,Douala V
Douala (Non précisé),Deido,Douala I
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),Deido,Douala I
Douala 5,Ndogpassi,Douala III
Douala 3,Boko,Douala III
Douala (Non précisé),Logpom,Douala V
Douala 3,Nyalla,Douala III
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),Nyalla,Douala III
Douala (Non précisé),Logbaba,Douala III
Douala 3,Nyalla,Douala III
Non précisé,Non précisé,
Douala 3,Ndogpassi,Douala III
Douala 2,Youpwé,Douala II
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),New Bell,Douala II
Douala (Non précisé),Non précisé,
Douala (Non précisé),Non précisé,
Douala (Non précisé),Non précisé,
Douala 3,Logpom,Douala V
Douala (Non précisé),Nyalla,Douala III
Non précisé,Non précisé,
Douala (Non précisé),Bonamoussadi,Douala V
Douala 4,Bonabeyike,Douala V
Douala 4,Non précisé,
Douala 3,Nyalla,Douala III
Douala 3,Yassa,Douala III
Douala (Non précisé),Non précisé,
Douala (Non précisé),Pk 10,Douala III
Douala (Non précisé),Ndogpassi,Douala III
Douala (Non précisé),Akwa,Douala I
Douala (Non précisé),Akwa,Douala I
Douala 3,Non précisé,
Édéa,Non précisé,
Douala 3,Non précisé,
Douala (Non précisé),Pk 10,Douala III
Douala 3,Non précisé,
Douala 3,Nyalla,Douala III
Douala (Non précisé),Non précisé,
Douala (Non précisé),Emene City,Douala V
Douala 3,Ndogbong,Douala V
Douala 3,Nyalla,Douala III
Douala (Non précisé),Non précisé,
Douala (Non précisé),Non précisé,
Douala 5,Bonamoussadi,Douala V
Douala (Non précisé),Non précisé,
Douala (Non précisé),Non précisé,
Douala 3,Ndogpassi,Douala III
Douala 3,Japoma,Douala III
Non précisé,Non précisé,
Douala 3,Yassa,Douala III
Douala (Non précisé),Non précisé,
Non précisé,Non précisé,
Édéa,Non précisé,
Douala 5,Pk 11,Douala III
Douala (Non précisé),Non précisé,
Douala 1,Nkongmondo,Douala I
Douala (Non précisé),Pk 10,Douala III
Douala (Non précisé),Cité Sic,Douala V
Douala 3,Logbaba,Douala III
Douala (Non précisé),Ndogpassi,Douala III
Douala (Non précisé),Pk 10,Douala III
Douala (Non précisé),Non précisé,
Douala 5,Makepe,Douala V
Douala 2,Nkongmondo,Douala I
Douala 5,Pk 10,Douala III
Douala (Non précisé),Non précisé,
Douala 3,Non précisé,
Douala 1,Akwa,Douala I
Douala 1,Akwa,Douala I
Douala 2,Bali,Douala I
Yaoundé,Non précisé,
Douala (Non précisé),Non précisé,
Douala (Non précisé),Ngodi,Douala I
Douala 3,Yassa,Douala III
Douala (Non précisé),Bonapriso,Douala I
Douala (Non précisé),Yassa,Douala III
