arrondissement_de_residence,quartier_de_residence
Douala 3,Yassa
Non précisé, R A S
Douala 1,NEW BELL
Douala 5,Ange raphael
Douala (Non précisé),Beedi
Douala (Non précisé),Deido
Douala (Non précisé),Henry
Non précisé,Non précisé
Douala 2,Ancien 3ieme
Douala 3,ndogpassi
Douala (Non précisé),Douala
Douala (Non précisé),Yassa
Douala (Non précisé),Ange raphael
Douala 3,Japoma 
Douala (Non précisé),Bonadibong
Douala (Non précisé),Ange Raphaël 
Douala (Non précisé),Douala
Douala 5,CITE SIC
Douala (Non précisé),DOUALA
Douala (Non précisé),Douala
Douala 4,Besseke bonaberi
Douala (Non précisé),Douala
Douala (Non précisé),Akwa ngodi
Douala (Non précisé),Douala
Yaoundé,Yaounde
Douala (Non précisé),Pk14
Meiganga,Meiganga
Douala (Non précisé),R .A.S
Douala 1,Deido
Douala (Non précisé),Village 
Non précisé, R A S 
Douala (Non précisé),douala
Douala (Non précisé),Cité maetude 
Douala (Non précisé),Pas precise
Douala 3,Ndogbong
Douala 5,PK9
Douala (Non précisé),Deido
Douala 1,Deïdo
Douala (Non précisé),Brazzaville
Douala (Non précisé),DOUALA
Douala 3,Nyalla chateau
Douala (Non précisé),Douala
Douala 3,LOGBABA
Douala (Non précisé),Bangue
Douala 3,Logbaba
Non précisé,Non précisé
Douala (Non précisé),Bonamoussadi
Douala 3,Beedi malangue
Douala 5,Pk14
Douala (Non précisé),Ancien abatoire
Douala 4,Bonaberie
Douala (Non précisé),Logbessou
Douala (Non précisé),Deido
Douala (Non précisé),NEWBELL
Douala (Non précisé),DEIDO
Douala 5,Ndogpassi 3
Douala 3,Boko
Douala (Non précisé),Logpom
Douala 3,Nyalla
Douala (Non précisé),Newbell
Douala (Non précisé),Nyalla pariso 
Douala (Non précisé),Logbaba
Douala 3,Nyalla
Non précisé,Non précisé
Douala 3,Ndogpassi
Douala 2,youpwe
Douala (Non précisé),Newbell
Douala (Non précisé),Cite cicam
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 3,Logpom
Douala (Non précisé),NYALLA
Non précisé,Non précisé
Douala (Non précisé),Bonamoussadi
Douala 4,Bonaberie
Douala 4,Bonaberi
Douala 3,Nyalla
Douala 3,Yassa
Douala (Non précisé),Douala
Douala (Non précisé),Pk10
Douala (Non précisé),NDOGPASSI 2
Douala (Non précisé),Akwa
Douala 3,DOUALA
Édéa,Edea
Douala 3,PK8
Douala (Non précisé),Pk10
Douala 3,Yatchika
Douala 3,NYALLA
Douala (Non précisé),douala
Douala (Non précisé),PK12 Emmene cite
Douala 3,Ndogbong
Douala 3,NYALLA
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 5,Bonamousadi 
Douala (Non précisé),Pk8
Douala (Non précisé),Pk14
Douala 3,BDOGPASSI
Douala 3,Nyalla japoma
Non précisé,Non précisé
Douala 3,YASSA
Douala (Non précisé),PK11 bassa
Non précisé, R A S 
Édéa,Edéa 
Douala 5,Pk11
Douala (Non précisé),Douala
Douala 1,nkongmondo
Douala (Non précisé),PK10
Douala (Non précisé),Cité sic
Douala 3,Logbaba
Douala (Non précisé),NDOGPASSI 3
Douala (Non précisé),Pk10
Douala (Non précisé),Douala
Douala 5,makepe
Douala 2,Nkongmondo
Douala 5,PK 10
Douala (Non précisé),Total nkolbong
Douala 3,pk12
Douala 1,AKWA
Douala 2,Bali
Yaoundé,Yaoundé
Douala (Non précisé),Douala
Douala (Non précisé),NGODI BAKOKO
Douala 3,Yassa
Douala (Non précisé),Bonapriso 2
Douala (Non précisé),Yassa
Douala 5,Kotto
Douala 5,cite des palmiers
Douala (Non précisé),Pas precisé
Douala (Non précisé),Japoma
Douala (Non précisé),Akwa
Douala 3,NIALLA
Douala (Non précisé),Bali
Douala 3,ndogpassi
Douala 5,Ndogpassi 
Douala 5,Deido
Douala 3,Bilongue
Douala 5,New Bell
Douala (Non précisé),Saint thomas
Douala (Non précisé),BONABERI
Douala (Non précisé),Newbell
Douala (Non précisé),PK14
Non précisé,R A S
Douala (Non précisé),Pk13
Douala (Non précisé),BONABERI
Douala 5,CCC NDOKOTTI
Douala 3,NYALLA
Douala 5,kotto
Douala 5,Pk9
Douala (Non précisé),Nkongmondo
Douala 5,Logpom
Douala 5,Pk8
Douala 4,Bonabéri (grand baobab)
Douala (Non précisé),Pk14
Yaoundé,Yaounde
Douala (Non précisé),Bependa Omnisport
Douala (Non précisé),BESSENGUE
Douala (Non précisé),Logbaba
Douala (Non précisé),DOGPASSI
Douala 3,Pk8
Douala (Non précisé),Pk14
Douala (Non précisé),PK9
Douala (Non précisé),RAS
Douala (Non précisé),NDOGPASSI 2
Douala 3,Nkolbong
Douala 3,Cité-sic
Douala 5,Pk9
Douala (Non précisé),Besengue 
Douala (Non précisé),NYALLA CHATEAU
Douala (Non précisé),Nkongmondo
Douala 3,Yassa
Douala 5,Makepe
Douala 5,Pk12
Douala (Non précisé),DOUALA
Douala 3,VILLAGE
Douala (Non précisé),Ndogpassi 2
Douala (Non précisé),PK14
Douala 4,Bonaberie
Douala (Non précisé),BILONGUE
Douala 5,PK10 
Douala 3,Village
Douala 4,Bonabéri 
Douala 2,Bali
Douala (Non précisé),Douala
Douala (Non précisé),Bali
Yaoundé,YAOUNDE
Douala (Non précisé),Ndogbon
Douala 3,Malangue
Douala (Non précisé),douala
Douala 1,Deido
Douala 2,Newbell
Douala (Non précisé),Bonadibong
Douala 5,VILLAGE
Douala 3,BILONGUE
Douala (Non précisé),Akwa
Douala (Non précisé),Nkomondo
Douala (Non précisé),Douala
Douala 5,Gare bessengue
Douala (Non précisé),Yassa tika
Douala 3,JAPOMA
Douala 5,pk11
Douala 5,Cité des palmiers
Douala (Non précisé),Bonamoussadi
Douala 4,bonaberi
Douala 3,Yassa
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 2,entree billes
Douala (Non précisé),Kms
Douala (Non précisé),BOKO PLAGE
Douala 3,Total Nkolobong
Douala 4,Bonaberi
Douala 4,Bonaberie
Douala (Non précisé),Bependa
Douala 5,Bonamoussadi
Oyack,OYACK
Douala 3,Ndogpassi
Douala 3,Ndogpassi 2
Douala (Non précisé),Douala
Douala 2,New bell 
Douala 3,Nyalla
Douala (Non précisé),BP8232
Douala 3,YASSA 
Douala (Non précisé),NDOGPASSI
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Pk13
Douala (Non précisé),NDOKPASSI
Douala (Non précisé),Douala
Douala (Non précisé),Bonapriso
Douala (Non précisé),Douala
Douala (Non précisé),douala
Douala (Non précisé),Soubom
Douala (Non précisé),Non précise 
Douala (Non précisé),DOUALA
Douala 3,NdogpassiII
Douala 3,Ndogpassi 3
Douala 5,Bp cite
Douala 5,Pk20
Douala (Non précisé),Kotto
Douala 1,Deido 
Douala (Non précisé),Pk16
Douala (Non précisé),NEWTON  AIRPORT
Douala (Non précisé),Boko
Douala 4,Bobojn
Douala 4,BONABERI
Yaoundé,Biyemassi
Douala (Non précisé),Newton aeroport
Douala (Non précisé),Newbell
Douala (Non précisé),Logpom
Douala 3,Ndogpassi 3
Douala 5,Logpom
Douala 3,ndogpassi
Douala (Non précisé),BILONGUE
Douala (Non précisé),Douala
Non précisé,Ras
Douala 3,Yassa
Douala 5,Bependa tonnerre 
Douala (Non précisé),NDOGPASSI
Douala 5,Ndongbong
Douala (Non précisé),Ngodi Bakoko
Douala (Non précisé),Bonamoussadi
Douala (Non précisé),Douala
Douala (Non précisé),NDOGPASSI I
Douala (Non précisé),Deido
Douala 4,Bonabéri 
Douala (Non précisé),Douala
Douala (Non précisé),MADAGASCAR
Douala (Non précisé),Bonapriso
Douala (Non précisé),Bali
Douala (Non précisé),BALI
Douala 5,Beedi
Douala 3,Yassa
Manjo,Manjo
Douala (Non précisé),DOUALA
Douala 2,New-bell
Douala 5,Deido
Douala 3,PK12
Douala (Non précisé),PK10
Douala 1,Bali
Douala 3,NYALLA
